"ep","cases_with_ep","support"
"TOWED/STORED VEHICLE -> 484 PC   PETTY THEFT/INSIDE",27,0.0445544554455446
"TOWED/STORED VEHICLE -> 484 PETTY THEFT-SHOPLIFT",27,0.0445544554455446
"TRAFFIC-ACCIDENT INJURY -> TOWED/STORED VEHICLE",27,0.0445544554455446
"10851(A)VC TAKE VEH W/O OWNER -> 245(A)(1)AWDW/NO FIREARM/CIVIL",26,0.0429042904290429
"10851(A)VC TAKE VEH W/O OWNER -> 484 PC PETTY THEFT",26,0.0429042904290429
"10851(A)VC TAKE VEH W/O OWNER -> 487(A) PC GRAND THEFT",26,0.0429042904290429
"459 PC  BURGLARY BUSINESS -> 10851(A)VC TAKE VEH W/O OWNER",26,0.0429042904290429
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY BUSINESS",26,0.0429042904290429
"459 PC  BURGLARY VEHICLE -> CASUALTY REPORT",26,0.0429042904290429
"459 PC  BURGLARY VEHICLE -> TRAFFIC-ACCIDENT-NON INJURY",26,0.0429042904290429
"MISSING PERSON -> 459 PC  BURGLARY RESIDENCE",26,0.0429042904290429
"MISSING PERSON -> TRAFFIC-ACCIDENT-NON INJURY",26,0.0429042904290429
"459 PC  BURGLARY RESIDENCE -> CASUALTY REPORT",25,0.0412541254125413
"484 PETTY THEFT/LICENSE PLATE -> 10851(A)VC TAKE VEH W/O OWNER",25,0.0412541254125413
"5150 WI DANGER SELF/OTHERS -> 10851(A)VC TAKE VEH W/O OWNER",25,0.0412541254125413
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY BUSINESS",25,0.0412541254125413
"TOWED/STORED VEH-14602.6 -> 5150 WI DANGER SELF/OTHERS",25,0.0412541254125413
"TRAFFIC-ACCIDENT INJURY -> TRAFFIC-ACCIDENT INJURY",25,0.0412541254125413
"10851(A)VC TAKE VEH W/O OWNER -> 484G(B) PC ACCESS CARD FRAUD",24,0.0396039603960396
"459 PC  BURGLARY VEHICLE -> 5150 WI DANGER SELF/OTHERS",24,0.0396039603960396
"5150 WI DANGER SELF/OTHERS -> 459 PC  BURGLARY VEHICLE",24,0.0396039603960396
"MISSING PERSON -> 594(B)(2)(A) VANDALISM/ -$400",24,0.0396039603960396
"TOWED/STORED VEHICLE -> 484 PETTY THEFT/LICENSE PLATE",24,0.0396039603960396
"10851 VC AUTO THEFT LOCATE -> 459 PC  BURGLARY RESIDENCE",23,0.037953795379538
"10851 VC AUTO THEFT LOCATE -> TRAFFIC-ACCIDENT INJURY",23,0.037953795379538
"10851(A)VC TAKE VEH W/O OWNER -> MISCELLANEOUS I RPT (ZMISC)",23,0.037953795379538
"10851(A)VC TAKE VEH W/O OWNER -> NON INJ HR/MAIL OUT REPORT",23,0.037953795379538
"11364 HS POSS DRUG PARAPH -> 459 PC  BURGLARY VEHICLE",23,0.037953795379538
"211 PC  ROBBERY UNSPECIFIED -> 459 PC  BURGLARY VEHICLE",23,0.037953795379538
"23152(A) VC DUI-ALCOHOL/DRUGS -> 10851(A)VC TAKE VEH W/O OWNER",23,0.037953795379538
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY BUSINESS",23,0.037953795379538
"TOWED/STORED VEH-14602.6 -> FOUND PROPERTY - I RPT",23,0.037953795379538
"TRAFFIC-ACCIDENT-NON INJURY -> 459 PC  BURGLARY RESIDENCE",23,0.037953795379538
"10851(A)VC TAKE VEH W/O OWNER -> 11350(A)HS POSS CNTRL SUBST",22,0.0363036303630363
"459 PC  BURGLARY VEHICLE -> 211 PC  ROBBERY UNSPECIFIED",22,0.0363036303630363
"459 PC  BURGLARY VEHICLE -> 23152(A) VC DUI-ALCOHOL/DRUGS",22,0.0363036303630363
"459 PC  BURGLARY VEHICLE -> 242 PC  BATTERY CIVILIAN",22,0.0363036303630363
"CASUALTY REPORT -> 459 PC  BURGLARY VEHICLE",22,0.0363036303630363
"TOWED/STORED VEH-14602.6 -> 484 PC   PETTY THEFT/INSIDE",22,0.0363036303630363
"TOWED/STORED VEH-14602.6 -> 594(B)(1)PC  VANDALISM +$400",22,0.0363036303630363
"TOWED/STORED VEHICLE -> 11364 HS POSS DRUG PARAPH",22,0.0363036303630363
"TOWED/STORED VEHICLE -> 594(B)(2)(A) VANDALISM/ -$400",22,0.0363036303630363
"TOWED/STORED VEHICLE -> FOUND PROPERTY - I RPT",22,0.0363036303630363
"11364 HS POSS DRUG PARAPH -> 10851(A)VC TAKE VEH W/O OWNER",21,0.0346534653465347
"20002(A) HIT/RUN -> 459 PC  BURGLARY VEHICLE",21,0.0346534653465347
"242 PC  BATTERY CIVILIAN -> 10851(A)VC TAKE VEH W/O OWNER",21,0.0346534653465347
"459 PC  BURGLARY RESIDENCE -> 484 PETTY THEFT/LICENSE PLATE",21,0.0346534653465347
"459 PC  BURGLARY VEHICLE -> 487(A) PC GRAND THEFT",21,0.0346534653465347
"594(B)(1)PC  VANDALISM +$400 -> 459 PC  BURGLARY VEHICLE",21,0.0346534653465347
"594(B)(2)(A) VANDALISM/ -$400 -> 5150 WI DANGER SELF/OTHERS",21,0.0346534653465347
"594(B)(2)(A) VANDALISM/ -$400 -> TOWED/STORED VEH-14602.6",21,0.0346534653465347
"NON INJ HR/MAIL OUT REPORT -> 10851(A)VC TAKE VEH W/O OWNER",21,0.0346534653465347
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY BUSINESS",21,0.0346534653465347
"TRAFFIC-ACCIDENT INJURY -> 459 PC  BURGLARY RESIDENCE",21,0.0346534653465347
"TRAFFIC-ACCIDENT INJURY -> TRAFFIC-ACCIDENT-NON INJURY",21,0.0346534653465347
"23152(A) VC DUI-ALCOHOL/DRUGS -> 459 PC  BURGLARY VEHICLE",20,0.033003300330033
"459 PC  BURGLARY VEHICLE -> 11364 HS POSS DRUG PARAPH",20,0.033003300330033
"594(B)(2)(A) VANDALISM/ -$400 -> 459 PC  BURGLARY RESIDENCE",20,0.033003300330033
"CASUALTY REPORT -> 10851(A)VC TAKE VEH W/O OWNER",20,0.033003300330033
"MISSING PERSON -> 10851 VC AUTO THEFT LOCATE",20,0.033003300330033
