district,ep,cases_with_ep,support
1,11357(B)HS POSS -28.5GR MARIJ -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,11357(B)HS POSS -28.5GR MARIJ -> 242 PC  BATTERY CIVILIAN,1,0.011363636
1,11357(B)HS POSS -28.5GR MARIJ -> 594(B)(2)(A) VANDALISM/ -$400,1,0.011363636
1,11364 HS POSS DRUG PARAPH -> 487(A) PC GRAND THEFT,1,0.011363636
1,11364 HS POSS DRUG PARAPH -> 594(B)(2)(A) VANDALISM/ -$400,1,0.011363636
1,11364 HS POSS DRUG PARAPH -> THREATS - I RPT,1,0.011363636
1,11364 HS POSS DRUG PARAPH -> TOWED/STORED VEHICLE,1,0.011363636
1,11377(A)HS POSS AMPHETAMINES -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,12022.1 PC COMMIT FEL ON BAIL -> 242 PC  BATTERY CIVILIAN,1,0.011363636
1,12022.1 PC COMMIT FEL ON BAIL -> 487(A) PC GRAND THEFT,1,0.011363636
1,12025(A)2)CNCLD GUN ON PER/FEL -> 12022.1 PC COMMIT FEL ON BAIL,1,0.011363636
1,12025(A)2)CNCLD GUN ON PER/FEL -> 242 PC  BATTERY CIVILIAN,1,0.011363636
1,148.1(A)PC FALSE REPT OF BOMB -> 459 PC  BURGLARY RESIDENCE,1,0.011363636
1,148.1(A)PC FALSE REPT OF BOMB -> LOST PROPERTY - I RPT,1,0.011363636
1,148.1(A)PC FALSE REPT OF BOMB -> MISCELLANEOUS I RPT (ZMISC),1,0.011363636
1,1708 US   THEFT OF MAIL -> 20002(A) HIT/RUN,1,0.011363636
1,1708 US   THEFT OF MAIL -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,1708 US   THEFT OF MAIL -> 484J PC PUBLISH CARD INFO,1,0.011363636
1,20001(A) VC HIT/RUN INJ/DEATH -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,20001(A) VC HIT/RUN INJ/DEATH -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,20002(A) HIT/RUN -> 10851 VC AUTO THEFT LOCATE,1,0.011363636
1,20002(A) HIT/RUN -> 212.5(A)ROBBERY-INHAB DWELLING,1,0.011363636
1,20002(A) HIT/RUN -> 215(A) PC    CARJACKING,1,0.011363636
1,20002(A) HIT/RUN -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,20002(A) HIT/RUN -> 594(B)(2)(A) VANDALISM/ -$400,1,0.011363636
1,20002(A) HIT/RUN -> ROBBERY - I RPT,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 11351 HS POSS/SALE OPIATE/NARC,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 211 PC ROBBERY-PURSE SNATCH,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 215(A) PC    CARJACKING,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 246 PC SHOOT OCCUP DWELL/VEH,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> 594(B)(1)PC  VANDALISM +$400,1,0.011363636
1,211 PC  ROBBERY UNSPECIFIED -> CASUALTY REPORT,1,0.011363636
1,211 PC ROBBERY- BUSINESS -> 245(A)(1)AWDW/NO FIREARM/CIVIL,1,0.011363636
1,211 PC ROBBERY- BUSINESS -> ACCIDENTAL FIRES/ARSON -I RPT,1,0.011363636
1,211 PC ROBBERY- BUSINESS -> SUSP PERS-NO CRIME - I RPT,1,0.011363636
1,211 PC ROBBERY- BUSINESS -> TOWED/STORED VEHICLE,1,0.011363636
1,211 PC ROBBERY-PURSE SNATCH -> 11377(A)HS POSS AMPHETAMINES,1,0.011363636
1,211 PC ROBBERY-PURSE SNATCH -> 23152(A) VC DUI-ALCOHOL/DRUGS,1,0.011363636
1,211 PC ROBBERY-PURSE SNATCH -> 459 PC  BURGLARY RESIDENCE,1,0.011363636
1,211 PC ROBBERY-PURSE SNATCH -> 594(B)(2)(A) VANDALISM/ -$400,1,0.011363636
1,211 PC ROBBERY-PURSE SNATCH -> POSSIBLE MENTAL - I RPT,1,0.011363636
1,215(A) PC    CARJACKING -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,215(A) PC    CARJACKING -> 20002(A) HIT/RUN,1,0.011363636
1,215(A) PC    CARJACKING -> 246 PC SHOOT OCCUP DWELL/VEH,1,0.011363636
1,215(A) PC    CARJACKING -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,215(A) PC    CARJACKING -> 5150 WI DANGER SELF/OTHERS,1,0.011363636
1,23152(A) VC DUI-ALCOHOL/DRUGS -> 459 PC  BURGLARY RESIDENCE,1,0.011363636
1,23152(A) VC DUI-ALCOHOL/DRUGS -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,23152(A) VC DUI-ALCOHOL/DRUGS -> TOWED/STORED VEHICLE,1,0.011363636
1,23153(A) VC DUI CAUSE INJURY -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,23153(A) VC DUI CAUSE INJURY -> NON INJ HR/MAIL OUT REPORT,1,0.011363636
