"district","ep","cases_with_ep","support"
1,"240 PC ASSAULT/SIMPLE-CIVILIAN -> LOST PROPERTY - I RPT",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> FRAUD OR BUNCO - I RPT",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> MISCELLANEOUS I RPT (ZMISC)",1,0.0113636363636364
1,"242 PC  BATTERY CIVILIAN -> NON INJ HR/MAIL OUT REPORT",1,0.0113636363636364
1,"243(E)1 BATTERY NONCOHAB SPOUS -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"243(E)1 BATTERY NONCOHAB SPOUS -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"243(E)1 BATTERY NONCOHAB SPOUS -> 647(F) PC DIP - DISORDERLY",1,0.0113636363636364
1,"243(E)1 BATTERY NONCOHAB SPOUS -> TRAFFIC-ACCIDENT-NON INJURY",1,0.0113636363636364
1,"243.2(A)(1) BATT/SCHOOL INJURY -> 308(B) PC MINOR POSS TOBACCO",1,0.0113636363636364
1,"243.2(A)(1) BATT/SCHOOL INJURY -> FOUND PROPERTY - I RPT",1,0.0113636363636364
1,"245(A)(2) AWDW/FIREARM/CIVILIA -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"245(A)(2) AWDW/FIREARM/CIVILIA -> 594(B)(1)PC  VANDALISM +$400",1,0.0113636363636364
1,"246 PC SHOOT OCCUP DWELL/VEH -> 10851 VC AUTO THEFT LOCATE",1,0.0113636363636364
1,"247(B) PC SHOOT UNOCC BLDG/VEH -> 211 PC  ROBBERY UNSPECIFIED",1,0.0113636363636364
1,"247(B) PC SHOOT UNOCC BLDG/VEH -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"273.6(A) PC VIO DV COURT ORDER -> TOWED/STORED VEHICLE",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> 211 PC  ROBBERY UNSPECIFIED",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> 451(B) PC ARSON OF INHAB STRUC",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> 459 PC  BURGLARY BUSINESS",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> 484 PC PETTY THEFT",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> TOWED/STORED VEHICLE",1,0.0113636363636364
1,"459 PC  BURGLARY BUSINESS -> TRAFFIC-ACCIDENT INJURY",1,0.0113636363636364
1,"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"459 PC  BURGLARY RESIDENCE -> CHILD WELFARE - I RPT",1,0.0113636363636364
1,"459 PC  BURGLARY RESIDENCE -> MISCELLANEOUS I RPT (ZMISC)",1,0.0113636363636364
1,"459 PC  BURGLARY RESIDENCE -> MISSING PERSON",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 166(A)(4) WILFUL DISOBEY CT OR",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 211 PC ROBBERY-PURSE SNATCH",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 23152(A) VC DUI-ALCOHOL/DRUGS",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 243(E)1 BATTERY NONCOHAB SPOUS",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 247(B) PC SHOOT UNOCC BLDG/VEH",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 422 PC THREAT/INTENT TO TERROR",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY BUSINESS",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 484 PC PETTY THEFT",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 484 PC-PETTY THEFT-COIN MACHIN",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> 647(F) PC DIP - DISORDERLY",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> ABC LICENSE VIO/INFO - I RPT",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> FOUND PROPERTY - I RPT",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> MISSING PERSON LOCATE O/S ASSI",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> PROB VIOLA/FEL-MISD - I RPT",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> THREATS - I RPT",1,0.0113636363636364
1,"459 PC  BURGLARY VEHICLE -> TRAFFIC-ACCIDENT-NON INJURY",1,0.0113636363636364
1,"484 PC   PETTY THEFT/INSIDE -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"484 PC   PETTY THEFT/INSIDE -> 484 PC PETTY THEFT",1,0.0113636363636364
1,"484 PC   PETTY THEFT/INSIDE -> TRAFFIC-ACCIDENT INJURY",1,0.0113636363636364
1,"484 PC  PETTY THEFT/ OUTSIDE -> 23103(A) RECKLESS ON HIGHWAY",1,0.0113636363636364
